,date,open,close,high,low,volume,code
78,2007-05-08,5.195,5.168,5.24,5.115,4733137.73,600050
79,2007-05-09,5.204,5.688,5.688,5.159,11335675.03,600050
80,2007-05-10,5.733,5.804,5.992,5.706,10249050.61,600050
81,2007-05-14,5.652,5.724,5.858,5.562,5151291.71,600050
82,2007-05-15,5.741,5.446,5.768,5.419,4762922.01,600050
83,2007-05-16,5.428,5.518,5.527,5.356,3501334.28,600050
84,2007-05-17,5.58,5.643,5.813,5.571,4083913.9,600050
85,2007-05-18,5.598,5.544,5.643,5.518,3117322.54,600050
86,2007-05-21,5.374,5.75,5.777,5.374,5579003.14,600050
87,2007-05-22,5.822,5.715,5.858,5.67,5441516.56,600050
88,2007-05-23,5.715,5.706,5.741,5.625,3294777.49,600050
89,2007-05-24,5.724,5.643,5.795,5.562,4518774.69,600050
90,2007-05-25,5.625,5.67,5.724,5.562,3845824.48,600050
91,2007-05-28,5.724,5.733,5.75,5.67,4552639.3,600050
92,2007-05-29,5.795,5.813,5.939,5.741,5196319.33,600050
93,2007-05-30,5.527,5.338,5.679,5.24,6944358.52,600050
94,2007-05-31,5.338,5.455,5.571,5.061,5063639.61,600050
95,2007-06-01,5.464,5.356,5.643,5.195,4793119.67,600050
96,2007-06-04,5.374,4.828,5.428,4.819,4651208.27,600050
97,2007-06-05,4.747,4.917,4.926,4.371,4505317.11,600050
98,2007-06-06,4.926,4.855,4.953,4.792,2556190.35,600050
99,2007-06-07,4.882,4.917,4.944,4.81,3268380.37,600050
100,2007-06-08,4.926,4.891,4.935,4.828,2793104.63,600050
101,2007-06-11,4.891,5.123,5.195,4.828,4714753.96,600050
102,2007-06-12,5.132,5.097,5.177,4.926,3529433.05,600050
103,2007-06-13,5.159,5.222,5.276,5.123,3608138.75,600050
104,2007-06-14,5.231,5.079,5.231,5.07,2690182.81,600050
105,2007-06-15,5.025,5.132,5.168,4.944,2395865.86,600050
106,2007-06-18,5.24,5.374,5.419,5.186,4688021.76,600050
107,2007-06-19,5.401,5.509,5.661,5.356,4287025.57,600050
108,2007-06-20,5.527,5.356,5.589,5.347,3045553.33,600050
109,2007-06-21,5.365,5.553,5.598,5.365,3477512.76,600050
110,2007-06-22,5.589,5.338,5.598,5.204,3043864.14,600050
111,2007-06-25,5.374,5.061,5.446,4.989,2490421.26,600050
112,2007-06-26,4.998,5.204,5.213,4.926,1808018.84,600050
113,2007-06-27,5.204,5.313,5.34,5.123,1821765.26,600050
114,2007-06-28,5.304,5.222,5.494,5.213,2513878.76,600050
